ticker,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2,2021q3,2021q4,2022q1,2022q2,2022q3,2022q4,2023q1,2023q2,2023q3
AGR,59.0,59.0,61.0,51.0,44.0,38.0,41.0,42.0,47.0,37.0,55.0,26.0,30.0,63.0,33.0,32.0,30.0,46.0,56.0,58.0,64.0,44.0,35.0
ABW,,,,,,,,,,,,,,,38.0,23.0,0.0,40.0,76.0,42.0,43.0,23.0,62.0
APG,39.0,70.0,70.0,59.0,51.0,30.0,38.0,81.0,39.0,17.0,46.0,49.0,24.0,63.0,81.0,80.0,60.0,0.0,11.0,21.0,83.0,76.0,0.0
APS,28.0,39.0,18.0,64.0,22.0,,,35.0,57.0,39.0,72.0,97.0,89.0,61.0,100.0,100.0,88.0,48.0,96.0,77.0,100.0,84.0,56.0
BMS,53.0,47.0,45.0,27.0,72.0,77.0,0.0,55.0,20.0,32.0,0.0,89.0,69.0,100.0,0.0,62.0,100.0,29.0,59.0,37.0,45.0,83.0,82.0
BVS,44.0,44.0,43.0,34.0,50.0,41.0,44.0,41.0,33.0,40.0,24.0,36.0,56.0,58.0,46.0,44.0,62.0,35.0,62.0,47.0,61.0,61.0,46.0
BSI,54.0,95.0,52.0,31.0,58.0,40.0,75.0,41.0,50.0,69.0,68.0,32.0,59.0,62.0,73.0,53.0,69.0,48.0,46.0,39.0,76.0,54.0,76.0
ART,22.0,66.0,52.0,52.0,45.0,46.0,60.0,86.0,60.0,79.0,58.0,43.0,27.0,52.0,47.0,53.0,,,,63.0,46.0,38.0,23.0
DSC,86.0,98.0,55.0,49.0,52.0,40.0,46.0,42.0,64.0,52.0,60.0,55.0,53.0,23.0,16.0,24.0,15.0,32.0,46.0,64.0,82.0,77.0,45.0
EVS,58.0,11.0,49.0,23.0,23.0,11.0,37.0,24.0,35.0,30.0,17.0,51.0,59.0,74.0,47.0,56.0,25.0,91.0,23.0,79.0,1.0,0.0,67.0
